"Submission ID","Respondent ID","Submitted at","uuid","session_id","session_duration","subject","Respondent's country","how was your sesh with Professor Curious fr?","what made you call the Prof.?","what didn’t work for you with the Prof.?","what actually helped you the most? 🔥","what do you think we could do better?","Anything here that low-key had you confused or stressed?","How well did the whiteboard work for you today?"
"gDrKaqd","XxJMKOj","2025-11-16 17:19:29","0","","","Reading ","","5","📚 to learn","","","","",""
"A751p6z","lbelDkW","2025-11-16 17:47:54","0","","","Reading ","","3","📝 to do homework","Idk","","Idk","Idk",""
"QKyLP1l","obe7qG5","2025-11-16 18:54:18","0","","","Math (Updated)","","4","📚 to learn","He’s very clear when explainf things ","","Nothing everything is pretty good","No ",""
"Zjyp29A","aQ5r1vv","2025-11-17 00:36:43","0","","","Reading ","","1","📝 to do homework","","","","",""
"81yorRO","b5jN562","2025-11-17 09:34:29","2","","","Art ","","5","📚 to learn","good and thanks to the great creator and wizard","","Make  3d more background and expression","huhua",""
"ob1k9db","44JYr8Y","2025-11-21 06:53:22","3","","","Psychology","","3","📝 to do homework","He made quizzes and notes","","He kept cutting off and his voice was glitching","The transcript would say things he didn’t say or he would cut off in voice and the transcript would keep going ahead or sometimes the transcript would just glitch",""
"5BDOOLv","D4kRDVq","2025-11-21 20:04:08","4","","","Chemistry","","5","📚 to learn","The way he could actually hear what I was saying ","","Allowing us to keep notes made during the session ","Nah ",""
"eqlyd7e","BzdWkjY","2025-11-22 05:59:24","15","","","Math (Updated)","","5","📚 to learn","The explanations that made me really fall in love with this app","","actual sat style questions during tutoring with professor","NOPEEEE",""
"BzlVgX5","2EaW7Dj","2025-11-23 05:22:45","0","","","Maths","","4","📝 to do homework","Learning difficulties ","","Improve explain ","Yes ",""
"Gx4Z02j","vGeQYDQ","2025-11-24 16:27:37","0","","","Math (Updated)","","5","📚 to learn","I understood ","","Stop glitching","Confused
",""
"RG6G6Od","68KD4EA","2025-11-25 21:00:26","16","","","Reading ","","5","📝 to do homework","","","A Lil update ","Textual command ",""
"BzVEBJY","A7pz7oo","2025-11-25 23:56:56","1","","","Chemistry","","5","📚 to learn","He’s kinda funny ","","More encouraging and someone that starts from the beginning to explain in detail with easy words ","Started right off and I’m someone who understands things step by step ",""
"68zK5rk","eqrQPKe","2025-11-26 17:52:15","2","","","Math (Updated)","","4","📚 to learn","","","Idk ","No",""
"pb6O011","vGDDapg","2025-11-27 02:51:51","0","","","Reading ","","5","😌 to just chill + study","idk","","idk","idk",""
"Xxv0yYP","Y5GG6yz","2025-11-27 04:04:24","0","","","Math (Updated)","","5","📚 to learn","","","?","?",""
"yPpgyo8","gDqNPPM","2025-11-30 21:19:54","0","","","Math (Updated)","","1","😌 to just chill + study","","","The mic ","I’m confused ",""
"gDxg6yl","yPNBJZg","2025-12-01 00:51:25","0","","","World History: Modern","","1","😌 to just chill + study","It seemed sketchy","","I feel like it was rlly random I didn’t rlly talk to it so I don’t have much to say ","Idk ",""
"EkrgdGo","0Q8bMX0","2025-12-01 02:30:06","0","","","Physics","","4","📚 to learn","It is not working","","I cannot talk with him","How to talk with him",""
"J9Z7bVd","KYxOlkV","2025-12-03 05:04:12","23","","","Math (Updated)","","5","📚 to learn","the simpleness","","honestly nothing","no",""
"0QzEeJQ","rjO89Kv","2025-12-05 15:24:08","0","","","Reading ","","3","📝 to do homework","H","","B","B",""
"A7N8JNe","kdGPeKM","2025-12-06 00:36:48","0","","","Reading ","","5","📚 to learn","he belp","","the whiteboard bad","the whiteboard ",""
"xXEZNZ5","bBGjj0","2025-12-06 01:13:53","35","","","Reading ","","3","📝 to do homework","He could pull up practice quizzes, and I could ask him specific questions about specific parts of the problems.","","The whiteboard feature","When he would give me examples to practice with, but I would forget what he said, and it wouldn't show up on the whiteboard then I had to ask him to repeat it then I had to like repeat it in my mind. It was just a lot.",""
"BzqAbV1","b5ePzZ7","2025-12-07 17:51:09","0","","","Biology","","5","📚 to learn","idk","","idk","idk",""
"0QzkQLP","J99xZ6K","2025-12-08 11:04:00","12","","","Math (Updated)","","5","📚 to learn","Its awesome love it love it 🤟","","Nothing team is doing goooooof","Nothing it made me go jiggle wiggle 😁🙈",""
"pbXQ1JV","QK77qKl","2025-12-11 02:30:58","2","","","Any subject","","4","📚 to learn","I need the notes and explanation in advanced level
","","Notes","","3"
"RG1O844","kdNEG2Z","2025-12-11 07:10:52","0","","","Any subject","","5","📚 to learn","","",".","","5"
"WOXGPoe","eqa60yo","2025-12-11 22:23:19","0","","","English","","3","📝 to do homework","i","","i","","3"
"Npx5qdN","RGDKjVJ","2025-12-12 02:42:20","0","","","Psychology (2025)","","1","😌 to just chill + study","I couldn’t hear him","","I couldn’t hear him, and he couldn’t hear me?","","1"
"D4oqd1b","Np7VDQN","2025-12-12 13:11:43","0","","","Any subject","","5","📝 to do homework","Jabardast apps","","Sawal ko acche se solve Karke samjhaya Jata Hai yah Baat acchi Lagti Hai","","5"
"kd4eyB6","MeE5BMp","2025-12-13 06:39:53","0","","","Any subject","","5","📚 to learn","That it talk with me and explain everything thing step my step better then any other ai I have use



","","Nothing is perfect already ","","5"
"VLaPjoN","9q7O69p","2025-12-13 11:48:14","6","","","Any subject","","2","😌 to just chill + study","How he explained it","","Nothing","","4"
"BzYpOoe","kdNEG2Z","2025-12-13 16:07:38","9","","","Any subject","","5","📚 to learn","","","0","","5"
"QKqVWPg","Np7VDQN","2025-12-14 04:53:51","14","","","Any subject","","2","📚 to learn","Good app","","Kuchh question vah galat batata hai aur notes bhi kaise banate hain samajh Nahin Aata","","4"
"9qY1NPp","kdN0G1r","2025-12-15 01:39:47","9","","","Any subject","","5","📚 to learn","helping","","not be super sensitive mic wise","","5"
"yPbyY5X","pbD0KPV","2025-12-15 02:39:03","5","","","Any subject","","1","😌 to just chill + study","","","Gu","","2"
"1AYKvpb","ob20oV1","2025-12-15 03:45:31","10","","","Psychology (2025)","","5","📚 to learn","","","was good","","5"
"gDVWqlK","gD9kL1M","2025-12-16 10:41:56","0","","","Any subject","","1","📝 to do homework","","",".","","1"
